BDD;ARK;ISNI;Label_categ;Prenoms;Nom;Sexe;RoleName;GenName;Surnoms;Annee_naissance;ID_Ville_naissance;Ville_naissance;Annee_mort;ID_Ville_mort;Ville_mort;Portraits;Confession;Formation;Professions;Oeuvre;Milieux_reseaux;Contacts_artistes;Fortune_critique;Publications;Citations;Bibliographie;Webographie;Notes;Commentaires
PERS0025;ark:/12148/cb124363094;0000000116835465;AUT;Agnès;Arnauld;;;;;1593/12/31;;;1671/02/19;;;;;;Prieure, puis abbesse de l'Abbaye de Port-Royal de Paris;;;;;;;;;;
PERS0026;ark:/12148/cb11889160n;0000000045713152;AUT;Antoine;Arnauld;;;;;1612/02/06;2988507;Paris;1694/08/08;2800866;Bruxelles;;;;A écrit aussi en latin;;;;;;;;;;
PERS0027;ark:/12148/cb122032002;0000000044456836;AUT;Angélique;Arnauld;;;;;1591/09/08;2988507;Paris;1661/08/06;2996752;Magny-les-Hameaux (Yvelines=;;;;Abbesse et réformatrice de Port-Royal;;;;;;;;;;
PERS0201;;;LIBR;Jean d';Arnhem;;;;;;;;;;;;;;;;;;;;;;;;
PERS0113;ark:/12148/cb12534760p;0000000001743325;AUT;Jean d';Arrérac;;;;;15..;;;16..;;;;;;Seigneur de Pic et de Meyni. - Fut conseiller au Parlement de Bordeaux;;;;;;;;;;
PERS0127;ark:/12148/cb118894118;0000000121339677;AUT;Théodore Agrippa d';Aubigné;;;;;1552/02/08;;Saint-Maury (Charente-Maritime);1630/05/09;2660646;Genève (Suisse);;;;"Poète et historien. - ""La responce de Michau l'aveugle"" et ""La replique de Michau l'aveugle"", précédemment attribuées à Louis de La Blachière, sont attribuées par Jean-Raymond Fanlo à Agrippa d'Aubigné";;;;;;;;;;
PERS0356;ark:/12148/cb10298815j;0000000071406922;LIBR;Auguste;Aubry;;;;;1821;2976247;Sancheville (Eure-et-Loir);1878/01/13;2976247;Sancheville (Eure-et-Loir);;;;"Libraire. - Fondateur du ""Bulletin du bouquiniste"" (en 1857). - Établi à Paris, rue Dauphine, n° 16 (en 1863-1866)";;;;;;;;;;
PERS0032;ark:/12148/cb12026803j;0000000061193214;AUT;Nicolas;Audeber;;;;;1556;;;1598/12/29;;;;;;A aussi écrit en latin et en italien;;;;;;;;;;
PERS0409;ark:/12148/cb106931184;000000007688742X;AUT;Augustin;Manni;;NOTE ANTOINE: pas la bonne cote: il s'agit de 408 => il y a eu un décalage;;;1547;3180768;Cantiano (Italie);1618/11/25;3169070;Rome;;;;"Écrivit aussi en latin|Membre de la Congrégation de l'Oratoire de saint Philippe Néri (à partir de 1577 ; ordonné prêtre en 1580)";;;;;;;;;;
PERS0255;ark:/12148/cb165676295;0000000358392302;AUT;Jean;Auvray;;;;;16..;;;16..;;;;;;Auteur parisien de tragi-comédies et de quelques pièces de vers d'inspiration religieuse ou officielle;;;;;;;;;;
PERS0115;ark:/12148/cb11889812q;0000000121265700;AUT;Francis;Bacon;;;;;1561/01/22;2643743;Londres;1626/04/09;10174599;Highgate, GB;;;;A aussi écrit en latin;;;;;;;;;;
PERS0437;ark:/12148/cb122388654;0000000108913099;LIBR;Balthazar;Bellère;;;;;1564/09/12;;;1639/08/18;;;;;;Imprimeur-libraire et graveur. - Fils de Jean Bellère (Joannes Bellerus), imprimeur à Anvers, et gendre de Jean I Bogard, imprimeur à Douai. Établi à Douai dès 1590, il ne semble pas y avoir publié avant 1593. Plusieurs impressions de 1640 paraissent encore à son nom bien qu'il soit décédé en août 1639;;;;;;;;;;
PERS0282;ark:/12148/cb11890042g;0000000114443046;AUT;Jean-Louis de;Balzac;;;;;1597/05/31;3037598;Angoulême (Charente);1654/02/08;;;;;;Épistolier, rhéteur et poète. - Membre de l'Académie française (élu en 1634);;;;;;;;;;
PERS0112;ark:/12148/cb161180307;0000000366993298;LIBR;Denise;Barbé;;;;Veuve de Mamert Patisson|Veuve M. Patisson;15..;;;;;;;;;"Nom patronymique : Denise Barbé. - Imprimeur-libraire ; imprimeur ordinaire du Roi. - Fille du libraire parisien Jean Barbé. Veuve en premières noces de l'imprimeur-libraire Robert II Estienne (1571), elle se remarie en janv. 1574 avec Mamert Patisson, ancien correcteur de son mari, qui reprend le fonds de Robert II Estienne. Succède à Mamert Patisson en 1602, avant le 25 fév. À sa propre mort, le 8 juillet 1604 (inventaire après décès à partir du 16 juillet 1604), le fonds passe d'abord à son fils Philippe Patisson, puis en 1606 à son fils du premier lit Robert III Estienne (1559?-1614)";;;;;;;;;;
PERS0036;ark:/12148/cb12238812j;0000000121252707;LIBR;Claude;Barbin;;;;;1628?;;;1698/12/24;;;;;;Libraire. - Âgé de 13 ans lors de son entrée en apprentissage, en janv. 1641. Reçu libraire en mars 1654, il ne s'établit qu'en nov. 1656. Revend la majeure partie de son fonds en avril 1695;;;;;;;;;;
PERS0117;ark:/12148/cb12054542r;0000000108609134;AUT;Jean;Barclay;;;;;1582/01/28;2986306;Pont-à-Mousson, Meurthe-et-Moselle;1621/08/12;3169070;Rome;;;;Philosophe, théologien et écrivain polémiste. - Au service du roi d'Angleterre Jacques 1er (1606-1615). - Employé à la chancellerie pontificale (1615-1621);;;;;;;;;;
PERS0400;ark:/12148/cb125109349;0000000109075541;EDIT;Édouard de;Barthélemy;;;;;1830/11/21;3037656;Angers (Maine-et-Loire);1888/05/30;2988507;Paris, 7e arrondissement (France);;;;Administrateur, historien et archéologue. - Maire de Courmelois et conseiller général de la Marne. - Auditeur au Conseil d'État. - Chevalier de la Légion d'honneur (1868). - Frère d'Anatole de Barthélémy (1821-1904);;;;;;;;;;
PERS0001;ark:/12148/cb12522750p;0000000005181040;AUT;René;Bary;;;;;16..;;;16..;;;;;;A aussi traduit de l'italien en français;;;;;;;;;;
PERS0102;ark:/12148/cb11890604k;0000000121177962;AUT|LIBR;Jean;Baudoin;;;;;1590?;2985659;Pradelles (Haute-Loire);1650;2988507;Paris (France);;;;Érudit, écrivain et traducteur. - Membre de Académie française (élu en 1634);;;;;;;;;;
PERS0122;ark:/12148/cb10299668t;;AUT;F. Q. de;Bazyre;;;;;;;;;;;;;;;;;;;;;;;;
PERS0210;ark:/12148/cb12230277j;0000000000337296;LIBR;Romain de;Beauvais;;;;;15..;;;1643?;;;;;;"Variante(s) de prénom : Romanus. - Libraire. - En activité à Rouen dès 1585. Membre de la ""Societas typographica librorum officii ecclesiastici"" de Rouen. Dernière mention en 1642. Veuve attestée en 1643 et en janv. 1644 (elle se remarie alors avec Richard III Lallemant)";;;;;;;;;;
PERS0008;ark:/12148/cb122388534;0000000361002686;LIBR;Denis;Béchet;;;;;161.?;;;170.?;;;;;;Neveu du libraire parisien Jérôme Drouart chez qui il est apprenti de mai 1626 à fév. 1632. Reçu maître en fév. 1632. Membre de la Compagnie des usages réformés. Ne semble pas avoir exercé au-delà de 1675. Élu consul en 1669, puis grand juge-consul en 1682, il est administrateur des hôpitaux en 1689. Encore attesté en 1695 (rôles de la capitation), il est décédé avant 1705 et n'est pas mentionné lors de l'enquête de nov.-déc. 1701, mais figure encore sur la liste établie en sept. 1703, en qualité d'ancien syndic;;;;;;;;;;
PERS0033;ark:/12148/cb13010778n;;AUT;Nicolas;Bernard;;;;;;;;;;;;;;;;;;;;;;;;
PERS0030;ark:/12148/cb123897628;0000000121231201;AUT;Jean de;Bernières;;sieur de Louvigny;;;1602;3029241;Caen (Calvados);1659/05/03;;;;;;Conseiller du roi, trésorier de France à Caen. - Membre de la Compagnie du Saint-Sacrement, auteur d'ouvrages de spiritualité, fondateur à Caen d'un ermitage dédié à la vie de prière et promoteur d'oeuvres caritatives. - Maître spirituel, notamment de Mectilde du Saint-Sacrement (1614-1698), Jacques Bertot (1620-1681), François de Laval (1623-1708), Marie de l'Incarnation (1599-1672). - A soutenu l'envoi des ursulines en mission au Canada;;;;;;;;;;
PERS0204;ark:/12148/cb120148224;0000000121415529;AUT;François;Béroalde de Verville;;;;;1556/04/27;2988507;Paris;1626;;;;;;"Écrivain. - Son père, Mathieu, fils de Simon Brouard, chirurgien barbier à Bruxelles, se laissa imposer en 1543, par son oncle François Vatable, le nom de Béroald qui, dans l'esprit de Vatable, représentait la forme primitive de Brouard. - François Béroald publie en 1578, sous le nom de Béroalde, sieur de Verville, le ""Theatrum instrumentorum et machinarum Jacobi Bessoni""";;;;;;;;;;
PERS0035;ark:/12148/cb12158637k;0000000080778576;AUT;François;Bertaut;;;;;1621;2988507;Paris;1714?;;;;;;Poète. - Seigneur de Fréauville. - Conseiller au Parlement de Paris (à partir de 1666)|Les dates de naissance et de décès de cet auteur varient selon les sources|La poésie «Paris burlesque» ou «La Ville de Paris en vers burlesques», par Berthod ou Berthaud, est parfois attribuée au présent auteur;;;;;;;;;;
PERS0139;;;LIBR;Petrum;Bertelium;;;;;;;;;;;;;;;;;;;;;;;;
PERS0243;ark:/12148/cb12229229n;0000000108849250;LIBR;Jean;Berthelin;;;;;1577/10?;;;1652/06/23;;;;;;Libraire. - Reçu maître en 1602 en qualité de gendre (nov. 1602) de l'imprimeur-libraire de Rouen Raphaël Du Petit Val, il semble avoir exercé dès janv. 1601. De confession calviniste. Publie en 1647, en latin, un catalogue de sa librairie. Dit âgé de 74 ans et 8 mois lors de son décès (juin 1652);;;;;;;;;;
PERS0055;ark:/12148/cb120522386;0000000108718664;AUT;Pierre de;Bérulle;;;;;1575/02/04;3027878;Cérilly (Aube);1629/10/02;2988507;Paris;;;;Écrivit aussi en latin;;;;;;;;;;
PERS0052;ark:/12148/cb122388952;0000000109284925;LIBR;Cardin;Besongne;;;;;159.?;;;1671/05;;;;;;Libraire. - Vraisemblablement originaire de Rouen, il est reçu apprenti en cette ville, chez le libraire Jacques I Besongne, en 1611. À nouveau (?) en apprentissage à Paris en juillet 1618. Reçu maître le 11 fév. 1627. Décédé en mai 1671. Sa veuve Louise Bourdon, épousée avant 1631, lui succède;;;;;;;;;;
PERS0256;ark:/12148/cb12002817v;0000000050756528;AUT;Charles de;Beys;;;;;1610;;;1659/09/26;;;;;;Auteur dramatique et poète. - Acteur dans la compagnie de Molière ?;;;;;;;;;;
PERS0057;ark:/12148/cb11891892g;0000000121371511;AUT;Théodore de;Bèze;;;;;1519/06/02;2969478;Vézelay (Yonne);1605/10/13;2660646;Genève (Suisse);;;;Écrivit aussi en latin. - Traduisit du grec en latin;;;;;;;;;;
PERS0202;ark:/12148/cb12238920f;0000000013979917;LIBR;Pierre;Billaine;;;;;15..;;;1639/05/09;;;;;;"Libraire. - Frère aîné du libraire parisien Jean Billaine. Commence à exercer la librairie vers 1613 sans que l'on connaisse la date exacte de sa réception. Un arrêt du parlement de Paris du 9 juillet 1618 lui ordonne de retirer son étalage du Pont-Neuf. Gendre du libraire et fondeur Jean Méjat. Sépulture le 9 mai 1639 à Paris, paroisse Saint-Hilaire ; inventaire après décès le 19 mai suivant";;;;;;;;;;
PERS0209;ark:/12148/cb120890933;0000000108911464;AUT;Étienne;Binet;;;;;1569;3021372;Dijon;1639/07/04;2988507;Paris;;;;A aussi écrit en latin;;;;;;;;;;
PERS0384;ark:/12148/cb12205735k;0000000121008755;LIBR;Joan I;Blaeu;;;;;1596/09/23;;;1673/12/28;;;;;;"Autre(s) graphie(s) : Blaeuw. - Variante(s) de prénom : Giovanni ; Jan ; Janssen ; Jansz ; Jean ; Johan ; Johannes. - Imprimeur-libraire ; imprimeur du roi de Suède ; cartographe. - Fils de Willem Jansz(oon) Blaeu (1571-1638). Cartographe de la Compagnie des Indes orientales et auteur de nombreux ouvrages de géographie. A été échevin d'Amsterdam et capitaine de la bourgeoisie. A imprimé des ouvrages catholiques sous le pseudonyme de ""Jodocus Kalkovius (ou : Calcovius)"". En fév. 1672 un incendie ravage son imprimerie. Décédé en déc. 1673";;;;;;;;;;
PERS0086;ark:/12148/cb122389375;0000000121341662;LIBR;Thomas;Blaise;;;;;1578/03/31;;;1659;;;;;;"Libraire ; libraire juré de l'université [de Paris]. - Fils du libraire parisien Gilles Blaise et gendre (janv. 1602) du libraire-relieur Raoullet Rezé. Acquitte la taxe d'ouverture de boutique en 1600-1602 mais n'est reçu officiellement libraire qu'en 1606. Syndic de la communauté des libraires et imprimeurs de Paris en 1624. Vend son fonds en 1641 mais continue à exercer. Présent à l'inventaire après décès de sa seconde épouse Gillette Hameau le 18 déc. 1658. Décédé avant le 17 avril 1659, date de la prisée de ses livres";;;;;;;;;;
PERS0116;ark:/12148/cb15061521p;0000000107934242;LIBR;Michel;Bobin;;;;;161.?;;;1681/02/17;;;;;;Imprimeur-libraire. - Entré en apprentissage chez le libraire parisien Guillaume Loyson en août 1626. Reçu maître le 5 mai 1638. Sa veuve lui succède en fév. 1681;;;;;;;;;;
PERS0060;ark:/12148/cb10386920w;0000000062874409;AUT;Mathieu;Bochart;;;;;16..?;;;1662;;;;;;Pasteur à Alençon, Orne;;;;;;;;;;
PERS0118;ark:/12148/cb10446452g;;EDIT;Nanteuil de;Bohan;;;;Nanteuil de Boham;;;;;;;;;;;;;;;;;;;;
PERS0134;ark:/12148/cb12229250g;0000000109137941;LIBR;Horace;Boissat;;;;;16..;;;168.?;;;;;;"Variante(s) de prénom : Horatius. - Fils du libraire de Lyon Gabriel Boissat, mineur à la mort de celui-ci (1638). Laurent Anisson, son tuteur, dirige l'officine ""Héritiers de Gabriel Boissat"" jusqu'en 1645. Horace Boissat ne s'établit et ne commence à publier à son compte qu'en 1660. En faillite en 1668-1669. Déclare en 1669 se rendre fréquemment en Espagne pour ""raisonner avec les auteurs"". En procès avec son tuteur Laurent Anisson dont il obtient réparation en janv. 1672";;;;;;;;;;
PERS0222;ark:/12148/cb12238948t;0000000000513317;LIBR;Nicolas;Bonfons;;;;;15..;;;1626/03/27;;;;;;"Libraire ; libraire juré de l'université [de Paris]. - Fils et successeur du libraire parisien Jean Bonfons. Gendre en secondes noces (mai 1571) du libraire Jean I Ruelle. Encore en activité en 1618. Décédé à Paris en mars 1626 et sa veuve Catherine Ruelle dès le 14 juin suivant";;;;;;;;;;
PERS0355;ark:/12148/cb128106569;0000000083391510;AUT;Edmond;Bonnaffé;;;;;1825/12/09;3003796;Le Havre;1903/11/23;2988507;Paris;;;;Historien d'art. - Collectionneur;;;;;;;;;;
PERS0268;ark:/12148/cb15548410w;0000000002112584;LIBR;Jean de;Bordeaux;;;;;15..;;;1633/12;;;;;;Imprimeur-libraire. - Apparenté (petit-fils ?) au libraire-relieur parisien Jean II de Bordeaux. Acquitte la taxe d'ouverture de boutique en 1608-1610. Publication connue dès 1609. Sépulture le 12 déc. 1633 à Paris. Veuve attestée en activité de 1633 à 1638;;;;;;;;;;
PERS0150;ark:/12148/cb12081590h;0000000083539845;AUT;Pierre;Borel;;;;;1620?;3028263;Castres (Tarn);1671/11/01;3028263;Castres (Tarn);;;;A aussi écrit en latin;;;;;;;;;;
PERS0449;ark:/12148/cb15677675k;0000000122705835;LIBR;Pierre;Bosc;;;;;15..;;;1653;;;;;;"Imprimeur-libraire. - Travaille en association avec son père, le libraire toulousain Dominique Bosc, jusqu'à la mort de celui-ci, en 1619, et publie ensuite, jusqu'en 1621 au moins, sous la raison ""Dominique et Pierre Bosc"". Gendre (1618) de l'imprimeur-libraire Raymond Colomiez. En sept. 1619, huit de ses ouvrages, considérés comme non orthodoxes, sont détruits par les inquisiteurs. Nommé capitoul de Toulouse en 1642. Son fils Raymond Bosc lui succède en 1653";;;;;;;;;;
PERS0257;ark:/12148/cb118930604;0000000121355423;AUT|LIBR;Abraham;Bosse;;;;;1602;2972191;Tours;1676/02/16;2988507;Paris;;;;Graveur, dessinateur, peintre, architecte, écrivain et illustrateur. - A pratiqué l'eau-forte et le burin. - Élève de Jacques Callot. - Auteur de scènes de moeurs, de figurations d'événements historiques, ainsi que de sujets religieux;;;;;;;;;;
PERS0179;ark:/12148/cb130061996;0000000362577385;AUT;Pierre;Boton;;;;;155.;2996882;Mâcon (Saône-et-Loire);1598;;;;;;Poète. - Avocat;;;;;;;;;;
PERS0211;ark:/12148/cb12373266m;0000000002308704;AUT;Théophraste;Bouju;;;;;15..;;;16..;;;;;;Converti au catholicisme. - Prêtre et aumônier du roi. - Controversiste. - Attesté en 1613-1614;;;;;;;;;;
PERS0130;ark:/12148/cb13494267x;0000000117687804;AUT;Henri de;Bourbon;;prince de Condé;II;;1588/09/01;2979363;Saint-Jean-d'Angély (Charente-Maritime);1646/12/26;2988507;Paris;;;;Souvent désigné comme Monsieur le Prince ou Monseigneur le Prince;;;;;;;;;;
PERS0444;ark:/12148/cb10627506r;0000000081223329;AUT;François;Bourgoing;;;;;1585/03/18;;;1662/10/28;;;;;;A écrit aussi en latin|Supérieur général de l'Oratoire;;;;;;;;;;
PERS0299;ark:/12148/cb17140130b;;LIBR;Jean;Bourrelier;;;;;15..;;;161.?;;;;;;"Autre(s) graphie(s) : Bourrellier. - Variante(s) de prénom : Jan. - Également relieur et marchand de papier. - Établi à Vannes dès 1589, date à laquelle il imprime un bréviaire en deux parties à l'usage du diocèse, avec le concours de deux compagnons imprimeurs, Pierre Brenouset et Simon Bourdin ; ceux-ci présentent le 23 juin 1589 une requête au chapitre cathédral pour demander une gratification à cause des nombreuses corrections exigées par le secrétaire de l'évêque et obtiennent l'un 30 et l'autre 10 écus de récompense. Cette commande de 225 exemplaires payés d'avance un écu l'exemplaire n'est livrée qu'en 1591. Jean Bourrelier est attesté dans les comptes du chapitre de 1591 à 1594 pour des travaux de reliure et des livraisons de papier. Imprime en 1595 la première traduction française de l'ouvrage du théologien jésuite Juan Polanco sur la consolation des mourants, et l'année suivante un ouvrage du juriste vannetais Regnault Dorléans. En activité jusqu'en 1610 au moins, date à laquelle il fait paraître ""L'Excellence, utilité, necessité et certitude de la medecine. Avec la responce aux calomnies contenuës au... second livre des Essaiz du sieur de Montaigne"" d'Antoine Martin (un exemplaire en est conservé à la Bibliothèque Mazarine). On lui a aussi attribué le propre du diocèse de Vannes, dont un fragment, imprimé avec le même matériel, a été découvert dans une reliure ancienne, mais cette attribution est sujette à caution, car d'après les registres de l'évêché cette publication ne remonterait pas au-delà de 1613-1614, et l'imprimeur Joseph Moricet, qui succède à Jean Bourrelier, est attesté en activité dès avant 1618";;;;;;;;;;
PERS0043;ark:/12148/cb17145887f;0000000357731499;LIBR;Olivier;Boynard;;;;;15..;;;1619/09/26;;;;;;"Variante(s) de prénom : Olivarius ; Olyvier. - Libraire ; (bibliothécaire et) libraire (juré) de l'université (d'Orléans). - Exerce la librairie à Orléans à partir de 1575. Se marie en sept. 1576. Décédé en sept. 1619";;;;;;;;;;
PERS0119;ark:/12148/cb12229308z;0000000107821651;LIBR;Nicolas;Buon;;;;;15..;;;1628/04/22;;;;;;"Libraire ; libraire juré de l'université de Paris. - Fils et successeur de l'imprimeur-libraire parisien Gabriel Buon dont il rachète le fonds à sa mère, veuve de Gabriel, le 1er mai 1600. Gendre en premières noces (1600) de l'imprimeur-libraire Guillaume I Chaudière. Beau-père du libraire Claude Sonnius. Décédé en avril 1628 ; sa veuve lui succède";;;;;;;;;;
PERS0042;ark:/12148/cb122303576;0000000066450734;LIBR;Jacques;Cailloué;;;;;159.?;;;1664/08/01;;;;;;Libraire. - Fils d'un Isaac Cailloué. Reçu apprenti en août 1609 et maître en 1618, il aurait commencé à exercer dès 1612. Décédé le 1er août 1664 lors d'un déplacement à Saumur;;;;;;;;;;
PERS0062;ark:/12148/cb11894989k;0000000116001727;AUT;Jean-Pierre;Camus;;évêque de Belley;;;1584/11/03;2988507;Paris;1652/04/25;;;;;;Évêque de Belley, Ain (en 1609), puis grand vicaire du diocèse de Rouen. - Théologien. - Auteur de romans édifiants;;;;;;;;;;
PERS0013;ark:/12148/cb12246303x;0000000121259714;LIBR;Jean;Camusat;;;;;159.?;;;1639/06/25;;;;;;"Imprimeur-libraire ; imprimeur-libraire de l'Académie française (1634). - Fils d'un maître teinturier en drap de Sézanne. Entre en apprentissage chez le libraire parisien Thomas Blaise en janv. 1613. Reçu maître le 7 oct. 1621 et libraire attitré de l'Académie française dès le 10 avril 1634. Auteur de remerciements ou de compliments pour l'Académie française et d'un ouvrage sur le traité de Cateau-Cambrésis. Décédé le 25 juin 1639. Sa veuve Denise de Courbes lui succède, d'abord seule, jusqu'en 1642, puis en association avec son gendre Pierre Le Petit ; jusqu'en 1642 au moins, elle publie également sous le nom de Jean Camusat. Inventaire des biens de Jean Camusat effectué le 8 juillet 1651 à la demande de sa veuve, à la veille de se remarier avec le libraire Louis de Villac";;;;;;;;;;
PERS0050;ark:/12148/cb12246308n;0000000000279794;LIBR;Denise;Camusat;;Veuve Camusat;;;160.?;;;1678;;;;;;"Nom patronymique : Denise de Courbes. - Imprimeur-libraire ; imprimeur-libraire de l'Académie française (1639-1646). - Fille d'un Jean de Courbes mesureur juré de grains et bourgeois de Paris, et non du libraire parisien Jean de Courbe(s). Épouse l'imprimeur-libraire Jean Camusat en juillet 1624. Lui succède à son décès (juin 1639). Publie également sous le nom de Jean Camusat, jusqu'en 1642 au moins. Se remarie le 15 juillet 1651 avec le libraire Louis de Villac ; autorisée à s'en séparer de biens par acte du 17 juin 1653. Inventaire après décès 7 juin 1678";;;;;;;;;;
PERS0216;ark:/12148/cb12544563c;0000000118334517;AUT;Vincenzo;Cartari;;;;;1531?;;;15..;;;;;;Poète et traducteur;;;;;;;;;;
PERS0220;ark:/12148/cb123195492;0000000121007795;AUT;Baldassare;Castiglione;;;;;1478/12/06;8956868;Casatico (Italie);1529/02/07;2510409;Tolède (Espagne);;;;Écrivain, philosophe et poète;;;;;;;;;;
PERS0190;ark:/12148/cb125197269;0000000109275391;AUT;Salomon de;Caus;;;;;1576?;;;1626/02/28;;;;;;A aussi écrit en latin;;;;;;;;;;
PERS0066;ark:/12148/cb130061129;0000000110632827;AUT;Nicolas;Caussin;;;;;1583/05/27;2971549;Troyes (Aube);1651/07/02;2988507;Paris (France);;;;A aussi écrit en latin;;;;;;;;;;
PERS0456;ark:/12148/cb122620177;0000000110444295;LIBR;Antoine;Cellier;;;;;1612?;;;1681/03;;;;;;Imprimeur-libraire. - Fils du libraire d'Orléans Claude I Cellier. De confession calviniste. Reçu libraire à Paris le 5 juin 1636. La première édition à son nom date de 1642. Gendre (avril 1641) du libraire d'Orléans Étienne Potest. Sépulture le 7 mars 1681. Sa veuve lui succède|Jusqu'en 1659, travaille en association avec l'imprimeur-libraire parisien Pierre Des Hayes, chez qui il entre en apprentissage en janv. 1624 et qui devient son beau-père en épousant sa mère en 1627;;;;;;;;;;
PERS0223;ark:/12148/cb12175828v;0000000066455041;AUT;René de;Ceriziers;;;;;1603;2990969;Nantes;1662;2988507;Paris;;;;Jésuite. - Aumônier du Duc d'Orléans et de Louis XIV;;;;;;;;;;
PERS0261;ark:/12148/cb122549666;0000000063019084;LIBR;Louis;Chamhoudry;;;;;162.?;;;1672?;;;;;;"Libraire. - Gendre du libraire parisien André Soubron chez qui il a été apprenti à partir de déc. 1642. Reçu maître le 20 août 1648 en qualité de gendre de maître sans avoir terminé son apprentissage. Auteur de l'épître dédicatoire du ""Recueil de diverses poésies des plus célèbres autheurs de ce temps..."" (1652)";;;;;;;;;;
PERS0224;ark:/12148/cb122219703;0000000013479517;AUT;Pierre;Chanet;;;;;1603?;;;166.?;;;;;;Pasteur calviniste à La Rochelle (de 1623 à 1643). - Médecin à La Rochelle;;;;;;;;;;
